part_id,description,material,specification,quantity,unit,dimension_1_mm,dimension_2_mm,dimension_3_mm,notes
CRS-001,Control rod absorber tube (cladding),Inconel 625,ASTM B446; UNS N06625; seamless tube,3,ea,25.4 OD,1.65 wall,1422 lg,"Sealed both ends by full-pen TIG weld; contains absorber pellets; no salt contact"
CRS-002,Gd2O3/Al2O3 poison pellet,50% Gd2O3 + 50% Al2O3 co-sintered,Sintered ceramic pellets; density >4.5 g/cc; natural Gd,112 per rod,ea,23.6 OD,,12.7 ht,"Corrected from ~110: 1422 mm active length ÷ 12.7 mm pellet height = 111.97 → 112 pellets per rod. Order quantity: 3 rods × 112 = 336 pellets + 10% spare = 370 total. Press-fit stack inside absorber tube."
CRS-003,Control rod drive extension rod (regulating),Hastelloy-N,ASTM B574 bar; UNS N10003,2,ea,19.05 OD,,610 lg,"Connects absorber element to regulating rod drive rack; threaded both ends"
CRS-004,Safety rod drive extension rod,Hastelloy-N,ASTM B574 bar; UNS N10003,1,ea,19.05 OD,,610 lg,"Connects to solenoid latch mechanism"
CRS-005,Dashpot buffer assembly (safety rod),Hastelloy-N,ASTM B574/B575; UNS N10003,1,ea,,,,"Hydraulic snubber at bottom of safety rod travel; prevents impact damage on drop"
CRS-006,Anti-rotation key/guide,Hastelloy-N,ASTM B574 bar; UNS N10003,3,ea,,,,"Flat key on rod; matching keyway in thimble; prevents rod rotation"
CRS-007,Regulating rod drive assembly (rack & pinion),Stainless steel / alloy steel,"Custom assembly per the following functional requirements (ORNL-TM-728 provides reference design only — a modern vendor must design to these requirements): travel 508 mm; speed range 0.1–2.5 mm/s (variable); position accuracy ±0.2 mm full range; include AC servo motor 24V 50W; linear potentiometer position feedback; handwheel for manual operation; sealed shaft penetration gland (He-purge); shaft OD at seal 19.05 mm; drive housing flange bolt circle per RV-008 nozzle; operating temperature at seal 150–200°C; radiation dose rate at housing <10 kGy/h; stainless or Hastelloy-N wetted surfaces only",2,ea,,,,"Includes AC servo motor 24V 50W; linear potentiometer; handwheel; sealed shaft penetration gland; vendor must provide design package and qualification test report; no single design reference drawing available — derive from functional requirements above"
CRS-008,Safety rod electromagnetic latch assembly,Copper coil / alloy steel core,Solenoid; 24V DC; hold force > rod weight + friction; fail-safe drop,1,ea,,,,"De-energize to drop (fail-safe); reset motor/winch to re-latch; manual latch pin for maintenance"
CRS-009,Drive housing (sealed; mounts on vessel nozzle),Hastelloy-N,Custom fabricated; B575/B622; UNS N10003,3,ea,,,,"Bolted to vessel top-head nozzle (N3/N4/N5); provides atmospheric seal around drive shaft; includes He purge"
CRS-010,Rod position linear potentiometer,Stainless steel,0–600 mm range; 4–20 mA output; linearity ±0.5%; sealed housing,3,ea,,,,"Mounts in drive housing; coupled to drive shaft; output to I&C"
CRS-011,Rod end cap (lower absorber tube seal),Inconel 625,ASTM B446; machined disk; full-pen weld to absorber tube,3,ea,25.4 dia,3.2 thk,,"Lower end closure; must withstand salt environment in event of tube pinhole"
CRS-012,Rod end cap (upper absorber tube seal),Inconel 625,ASTM B446; machined disk; full-pen weld,3,ea,25.4 dia,3.2 thk,,"Upper end closure"
