part_id,description,material,specification,quantity,unit,dimension_1_mm,dimension_2_mm,dimension_3_mm,notes
FSP-001,Pump bowl (outer vessel),Hastelloy-N,ASTM B619/B622 pipe or rolled B575 plate; UNS N10003,1,ea,609.6 OD,9.53 wall,609.6 ht,"Cylindrical; top flange for cover plate; bottom open to loop; heat-traced exterior"
FSP-002,Pump bowl cover plate (removable),Hastelloy-N,ASTM B575 plate; UNS N10003,1,ea,625 dia,19.1 thk,,"Bolted; 24 × M20 Hastelloy-N studs; Ni gasket; houses shaft penetration and all connections"
FSP-003,Pump impeller,Hastelloy-N,Investment casting or machined from ASTM B574 bar; UNS N10003,1,ea,203 OD,,,,"Open-type centrifugal impeller; key-and-keyway attachment to shaft; replaceable"
FSP-004,Pump shaft,Hastelloy-N,ASTM B574 bar; UNS N10003,1,ea,50.8 dia,,1829 lg,"Cantilevered; impeller on lower end; coupling on upper end; run-out tolerance: ≤0.05 mm TIR at impeller"
FSP-005,Volute/diffuser casing,Hastelloy-N,Cast or fabricated B575; UNS N10003,1,ea,,,,"Integral with pump bowl or separate bolted casing; directs impeller discharge to pump bowl discharge nozzle"
FSP-006,Pump discharge nozzle,Hastelloy-N,ASTM B622 seamless pipe; 5-in SCH40; UNS N10003,1,ea,141.3 OD,6.55 wall,300 lg,"Butt-weld to discharge pipe; bolts to bowl side wall; 5-in main loop pipe per ORNL MSRE film (ORNL, 1966)"
FSP-007,Shaft seal assembly (labyrinth + face seal),Carbon graphite seat vs. Hastelloy-N rotating face,Custom assembly; carbon grade GA90 or equiv,1,ea,,,,"Dry-running face seal at cover plate shaft penetration; He purge flow ≥1 L/min"
FSP-008,Shaft thermal barrier (water-cooled collar),Hastelloy-N outer; copper inner cooling coil,Custom,1,ea,,,,"Located ~500 mm below cover plate; chilled water or N2 cooling to maintain shaft temp gradient"
FSP-009,Upper shaft bearing,Ball bearing; angular contact pair,SKF 7216 (or equivalent); 80 mm bore,1,set,,,,"Oil-lubricated; in ambient-temperature pump housing; grease lubrication acceptable for < 1750 rpm"
FSP-010,Motor (AC induction),Carbon steel frame; TEFC,NEMA 56HZ frame or IEC 200L; 75 hp; 460V 3-phase 60 Hz; 1750 rpm,1,ea,,,,"Vertical mount; flange coupling to pump shaft; TEFC enclosure; IEEE 841"
FSP-011,Motor-to-shaft flexible coupling,Alloy steel hubs; elastomeric element,Lovejoy L100 or equivalent; rated >100 Nm at 1750 rpm,1,ea,,,,"Accommodates parallel/angular misalignment; replaceable elastomeric insert"
FSP-012,Pump housing top plate,Hastelloy-N or 316 SS,ASTM B575 or A240,1,ea,750 dia,25.4 thk,,"Motor mounting plate; integrated with shielding above reactor cell; penetration for pump shaft"
FSP-013,He sparge line (sub-surface),Hastelloy-N,ASTM B622 tube; 6.35 mm OD × 0.89 mm wall; UNS N10003,1,ea,6.35 OD,,500 lg,"Dip tube extending to 50 mm below salt surface; bubbles He through salt to strip noble gases"
FSP-014,Off-gas line nozzle (pump bowl),Hastelloy-N,ASTM B622 tube; 12.7 mm OD; UNS N10003,1,ea,12.7 OD,1.65 wall,200 lg,"Set-on weld to pump bowl top; routes to off-gas system"
FSP-015,Salt level differential pressure taps,Hastelloy-N,ASTM B622 tube; 6.35 mm OD; UNS N10003,2,ea,6.35 OD,0.89 wall,,"Upper and lower taps for level measurement; routed to cell-wall penetration"
FSP-016,Pump bowl studs (cover plate),Hastelloy-N,UNS N10003 all-thread stud; M20 × 2.5,24,ea,20 dia,,100 lg,"With 2H hex nuts; replaced at each cover-plate removal"
FSP-017,Pump bowl gasket (cover plate),Annealed pure nickel,ASTM B162 Ni201; ring gasket,1,ea,625 OD,600 ID,3.2 thk,"Replace at every cover plate removal"
