part_id,description,material,specification,quantity,unit,notes
IC-001,BF3 proportional counter (startup range),Aluminum body; BF3 fill gas,300 mm active length; 19 mm OD; +300 to +600 V DC; 10^-4 to 10 W range,2,ea,"Redundant startup-range channels; in dry-well detectors adjacent to vessel"
IC-002,Compensated ion chamber (intermediate range),Aluminum / stainless body,400 mm active length; 38 mm OD; 0-500 V DC; 0.1 to 10000 W range,2,ea,"Bridging range; compensated (gamma-insensitive)"
IC-003,Uncompensated ion chamber (power range),Aluminum / stainless body,400 mm active length; 38 mm OD; 0-200 V DC; 100 W to 10 MW,2,ea,"Normal operating range; signals for control and SCRAM"
IC-004,Fission chamber (independent safety),Al-clad fissile coating; stainless body,Custom; 0.01 to 100000 W; independent power supply,1,ea,"Independent SCRAM channel; no shared power or signal with main NIS"
IC-005,Neutron detector dry well (in-shield),Hastelloy-N,ASTM B622; 44.5 mm OD × 3.18 mm wall; 1000 mm long; sealed end,8,ea,"4 detector positions × 2 wells each; in shield wall adjacent to vessel; allow detector insertion without cell entry"
IC-006,NIS preamplifier / high-voltage supply,Electronics; radiation-resistant inside cell,Custom or Canberra/Ortec equivalent; 10-decade logarithmic; 4-20 mA output,4,set,"One set per flux range (SUR × 2; IR × 2; PR × 2; SAF × 1 = 4 sets minimum)"
IC-007,Type K thermocouple (3.2 mm sheath; Inconel),Chromel/Alumel; Inconel 600 sheath; MgO insulation,IEC 60584 Class 1; 3.2 mm OD; 400 mm insertion; MI cable,30,ea,"Core inlet/outlet; HX in/out; pump bowl; vessel exterior; general process"
IC-008,Type K thermocouple (6.35 mm sheath; Inconel),Chromel/Alumel; Inconel 600 sheath; MgO insulation,IEC 60584 Class 1; 6.35 mm OD; 600 mm insertion; MI cable,28,ea,"Drain tank wells; larger-bore locations; freeze valve sections (2 per valve)"
IC-009,TC cold-junction compensation module,Electronics,Analog Devices AD8495 or equivalent; 4-20 mA transmitter; ±1 C accuracy,58,ea,"One per thermocouple; mounted in junction box outside cell"
IC-010,Electromagnetic flowmeter (fuel salt; primary),Hastelloy-N flow tube; ceramic electrodes,0-1440 USgpm range; AC excitation 50/60 Hz; 4-20 mA; ±2% FS accuracy; rated 700 C 350 kPa,1,ea,"FI-101; inline in 4-in primary loop pipe; remote transmitter outside cell"
IC-011,Electromagnetic flowmeter (coolant salt; secondary),Hastelloy-N flow tube; ceramic electrodes,0-1000 USgpm; same spec as FI-101 but 3-in pipe,1,ea,"FI-201; inline in 3-in secondary loop pipe"
IC-012,Mass flow controller (He sparge),316 SS wetted parts; thermal mass flow,0-2 L/min He; ±1% FS; 4-20 mA setpoint and readback,1,ea,"FI-301; controls sparge rate to pump bowl"
IC-013,Differential pressure level transmitter (pump bowl),Hastelloy-N wetted diaphragm,0-250 mm H2O range; 4-20 mA; ±0.1% FS; rated 700 C,1,ea,"LI-101; flush-diaphragm to contact fuel salt"
IC-014,Differential pressure level transmitter (drain tank),Hastelloy-N wetted diaphragm,0-1000 mm H2O range; 4-20 mA; ±0.1% FS,2,ea,"LI-601 (FDT) and LI-602 (OFT)"
IC-015,Pressure transmitter (primary loop pump discharge),Hastelloy-N wetted diaphragm,0-700 kPa gauge; 4-20 mA; ±0.5% FS; rated 700 C,1,ea,"PI-101; flush diaphragm at discharge nozzle"
IC-016,Pressure transmitter (off-gas line),316 SS wetted,0-50 kPa gauge; 4-20 mA; ±0.5% FS,1,ea,"PI-301"
IC-017,Pressure transmitter (drain tank headspace),316 SS wetted,0-50 kPa gauge; 4-20 mA,2,ea,"PI-601 (FDT); PI-602 (OFT)"
IC-018,Differential pressure transmitter (cell),316 SS wetted,−250 to +250 Pa; 4-20 mA; cell pressure monitoring,1,ea,"PI-1001; maintain cell at -25 to -75 Pa"
IC-019,PID temperature controller (heat trace zones),Electronics,DIN-rail mount; 4-20 mA output; 2-wire thermocouple input; auto/manual; setpoint 550 C nominal,30,ea,"One per heat-trace zone; controls heater SCR power"
IC-020,Safety system relay panel (hardwired),Relay modules on DIN rail; UPS-backed,24 V DC; SIL-2 rated relay modules; NAMUR compatible; redundant 1oo2 or 2oo3 voting,1,ea,"Implements all SCRAM logic in hardwired relay; independent of DCS; trip tests every 6 months"
IC-021,Control room operator console (mimic panel),Industrial HMI or hardwired analog,Process mimic; 24-in LED displays or analog meters; alarm annunciator with individual indicators,1,ea,"Modern build: Yokogawa FAST/TOOLS or equivalent DCS with SCADA; alarm rationalization per ISA-18.2"
IC-022,Chart recorder (key parameters),Paper chart or digital historian,Honeywell DR4500 or equivalent; 6-channel; 24 h chart; parameters: power; Tinlet; Toutlet; flow; level; cell pressure,4,ea,"4 recorders × 6 channels = 24 trended parameters"
IC-023,Mineral-insulated cable (in-cell; TCs),MI thermocouple extension cable,Chromel/Alumel; MgO; Inconel sheath; matched pair; rated 800 C,as req'd,m,"From TC tails to cell wall penetration; replace on any sheath failure"
IC-024,Cell wall instrumentation penetration assembly,Lead + epoxy sealing; radiation-resistant multi-pin,Conax Technologies multi-pin; 200-pin capacity; rated 120 kV; hermetic; replaceable,10,ea,"Routes all in-cell instrument signals through shield wall; one assembly per instrument zone"
