part_id,description,material,specification,quantity,unit,dimension_1_mm,dimension_2_mm,dimension_3_mm,notes
CSP-001,Pump bowl (outer vessel),Hastelloy-N,ASTM B619/B622 or B575; UNS N10003,1,ea,457 OD,7.94 wall,457 ht,"Same design concept as fuel pump bowl but smaller"
CSP-002,Pump bowl cover plate (removable),Hastelloy-N,ASTM B575 plate; UNS N10003,1,ea,475 dia,15.9 thk,,"Bolted; 20 × M16 studs; Ni gasket"
CSP-003,Pump impeller,Hastelloy-N,Investment casting or machined from ASTM B574; UNS N10003,1,ea,178 OD,,,"Open-type centrifugal impeller"
CSP-004,Pump shaft,Hastelloy-N,ASTM B574 bar; UNS N10003,1,ea,40 dia,,1524 lg,"Cantilevered; ≤0.05 mm TIR runout at impeller; shaft diameter revised from 38.1 mm to 40 mm to match standard metric bearing bore (SKF 6308, 40 mm bore — see CSP-008)"
CSP-005,Volute/diffuser casing,Hastelloy-N,Fabricated B575; UNS N10003,1,ea,,,,"Directs impeller discharge to bowl discharge nozzle"
CSP-006,Pump discharge nozzle,Hastelloy-N,ASTM B622 seamless; 3-in SCH40; UNS N10003,1,ea,88.9 OD,5.49 wall,250 lg,"Butt-weld connection to secondary loop pipe"
CSP-007,Shaft seal assembly,Carbon graphite vs. Hastelloy-N face,Custom; carbon grade GA90 or equiv,1,ea,,,,"Dry-running face seal; He purge"
CSP-008,Upper shaft bearing,Ball bearing,SKF 6308/C3 or equivalent; 40 mm bore (matches revised shaft diameter CSP-004); C3 clearance for thermal expansion,1,ea,,,,"Oil or grease lubricated; 40 mm bore confirmed consistent with shaft OD"
CSP-009,Motor (AC induction),TEFC,30 hp; 460V 3-phase 60 Hz; 1750 rpm,1,ea,,,,"Vertical mount; IEEE 841 or equivalent"
CSP-010,Motor-to-shaft flexible coupling,Alloy steel; elastomeric insert,Lovejoy L075 or equiv; rated >50 Nm,1,ea,,,,"Replaceable insert"
CSP-011,He sparge line,Hastelloy-N,ASTM B622 tube; 6.35 mm × 0.89 mm,1,ea,6.35 OD,,400 lg,"Sub-surface He introduction"
CSP-012,Cover plate studs,Hastelloy-N,M16 × 2.0; UNS N10003,20,ea,16 dia,,80 lg,"With 2H hex nuts"
CSP-013,Cover plate gasket,Annealed nickel,ASTM B162 Ni201,1,ea,475 OD,452 ID,3.2 thk,"Replace at each cover plate removal"
