part_id,description,material,specification,quantity,unit,dimension_1_mm,dimension_2_mm,dimension_3_mm,notes
RAD-001,Finned tube (coolant salt inside),Hastelloy-N tube + spiral Hastelloy-N fin,Tube: ASTM B622; 19.05 mm OD × 1.65 mm wall; Fin: ASTM B622 strip 0.89 mm × 12.7 mm wound spiral 4 fins/cm,144,ea,44.45 finned OD,,6096 lg,"3/4-in OD bare tube per ORNL MSRE film (ORNL, 1966); arrayed in banks of 12 tubes each per ORNL MSRE film; finned OD = 19.05 + 2×12.7 = 44.45 mm; Fin-to-tube bond: high-frequency resistance welding or brazing; 100% pull test sample"
RAD-002,Coolant salt inlet header (manifold),Hastelloy-N,ASTM B575 plate fabricated; 3-in SCH40 Hastelloy-N nozzle; UNS N10003,1,ea,300 OD (manifold ID 280),9.5 wall,500 lg,"Distributes coolant salt from supply pipe to tube bundle inlet; 36 branch nozzles at 25.4 mm"
RAD-003,Coolant salt outlet header (manifold),Hastelloy-N,ASTM B575 plate fabricated; UNS N10003,1,ea,300 OD,9.5 wall,500 lg,"Collects coolant salt from tube bundle and routes to return pipe"
RAD-004,Inter-pass header (turn-around at far end),Hastelloy-N,ASTM B575 plate; UNS N10003,3,ea,,,,"One per turn-around between 4 tube passes; distributes/collects from each pass"
RAD-005,Tube support baffle (anti-vibration),Hastelloy-N,ASTM B575 plate; 6.35 mm; tube holes on same pitch as tubes,6,ea,,,,"Supports tubes against air-side flow vibration; one every 1000 mm of tube length"
RAD-006,Air-side housing and ductwork,Galvanized carbon steel,ASTM A653 G90; 3 mm plate,1,set,7000 W,6500 L,6100 H,"Encloses tube bundle; directs air flow across bundle; includes access doors and inspection panels"
RAD-007,Axial fan (forced draft),Aluminum blade; carbon steel hub,Fan capacity: 17.7 m3/s at 125 Pa; 900 rpm; direct drive,4,ea,,,,"2 operating + 2 standby; each with individual damper and motor; IP55"
RAD-008,Fan motor,TEFC AC induction,30 kW; 460 V 3-phase 60 Hz; 900 rpm (6-pole); NEMA MG1 or IEC 250M,4,ea,,,,"Variable frequency drive capable; each motor independently controlled"
RAD-009,Inlet air louver/damper (motorized),Carbon steel; galvanized,Motorized multi-blade damper; fail-closed on loss of power; 24V DC actuator,4,ea,,,,"One per fan; controls air flow; close on shutdown to retain heat"
RAD-010,Coolant salt supply pipe (HX to radiator),Hastelloy-N,ASTM B622; 3-in SCH40; UNS N10003,as req'd,m,88.9 OD,5.49 wall,,"Fully heat-traced; supports on pipe shoes allowing thermal expansion"
RAD-011,Coolant salt return pipe (radiator to pump),Hastelloy-N,ASTM B622; 3-in SCH40; UNS N10003,as req'd,m,88.9 OD,5.49 wall,,"Fully heat-traced"
RAD-012,Electric heat trace element (per tube zone),MI cable; NiCr/MgO/Hastelloy sheath,Thermon or Chromalox; 650 C rated; 3 W/cm,as req'd,m,,,,"Applied to all tubes and headers; zoned by header sections"
